Pixel ID,Observed - Area  mm,Observed - Area  mm error,best fit (MCE) - Area  mm
0,0.10986949097846298,0.003764119435258377,0
1,0.15903514596991622,0.004395537667931761,0
2,0.16157198232389824,0.004416758136489427,0
3,0.13781209616671852,0.004143454534057512,0
4,3.825984308183698,0.020915689604950796,3.8091298016359754
5,5.960152196178733,0.02608967605537023,5.968481015016728
6,5.969721441690874,0.026110559572595508,5.968481015016728
7,5.973667819586454,0.026130489049017838,5.968481015016728
8,0.0019060276337978686,0.0005649143256669662,0
9,0.003329172306012484,0.0007225302596056592,0
10,0.0021321664213312776,0.0006530584055510338,0
11,0.004043295229110437,0.0007081018686524414,0
