,4 - 5 keV,5 - 6 keV,6 - 7 keV,7 - 8 keV,8 - 9 keV,9 - 10 keV,10 - 11 keV,11 - 12 keV,12 - 13 keV,13 - 14 keV,14 - 15 keV,15 - 16 keV,16 - 18 keV,18 - 20 keV,20 - 22 keV,22 - 25 keV,25 - 28 keV,28 - 32 keV,32 - 36 keV,36 - 40 keV,40 - 45 keV,45 - 50 keV,50 - 56 keV,56 - 63 keV,63 - 70 keV,70 - 76 keV,76 - 84 keV,84 - 100 keV,100 - 120 keV,120 - 150 keV,150 keV - inf
2021-05-07T19:00:34.990,3.5877951224616518,4.008961933117199,4.4714402407798985,4.234874619539334,4.012990044173896,3.7548259498380117,3.524185090710722,3.2971036501492565,3.040602340114073,2.7995128543484835,2.5463884121954212,2.3098961977447248,2.2875218108216613,1.8120773708565143,1.542514216281654,1.421192468305749,1.281601443825655,2.1764530204109627,1.5563025007672873,0.9229848157088828,0.9890046156985368,0.8893017025063104,1.2522460504731183,1.3037358890399062,1.1613680022349748,1.1796953833245065,1.7897569322852864,1.2872417111783478,2.1709947020363,2.3042750504771283,1.863322860120456
2021-05-07T19:00:42.990,3.587416285477404,4.011718425265579,4.468690641848709,4.235465318121639,4.009546498052676,3.7546063125743228,3.5223464084170666,3.2874377998954096,3.0350292822023683,2.784884633042612,2.5389191721490083,2.296665190261531,2.249504090935526,1.7826517516103202,1.4044060509212692,1.3640817414110702,1.2399248132621514,2.1850461017086076,1.5711262770843117,0.9719712763997564,0.8893017025063104,0.8893017025063104,1.105510184769974,1.165095874754218,1.041392685158225,1.2041199826559248,1.7690078709437738,1.4107772333772097,1.8864907251724818,2.122625396909397,1.849726444196328
2021-05-07T19:00:50.990,3.5840766803638173,4.0096420792661425,4.467299106507993,4.232246241915013,4.006562303756039,3.748197720971266,3.5209908957251037,3.2838663484734685,3.036429265626675,2.7850627685996225,2.5519072303175165,2.2810333672477277,2.2461291256634364,1.8481891169913987,1.462397997898956,1.4170562991191105,1.255272505103306,2.2034408668304377,1.5667320289862194,0.9542425094393249,0.909823369650912,0.8129133566428556,1.1499884564914762,1.2141813086638207,1.1139433523068367,1.157607853361668,1.7530082150208883,1.2272437815030626,2.044833632839783,2.241795431295199,1.8364823574581484
2021-05-07T19:00:58.990,3.5869949675534967,4.011824095594308,4.467410149446404,4.234457171579173,4.000759351104738,3.748091075452744,3.5148630661175027,3.2800944133062715,3.0354297381845483,2.785329835010767,2.5352941200427703,2.2928096654172903,2.2615602289423533,1.8573324964312685,1.5667320289862194,1.572581201332486,1.4044060509212692,2.2111873095696426,1.5797835966168101,1.0159881053841302,0.9602328731285124,0.9834007381805383,1.1972805581256194,1.2872417111783478,1.1180993120779945,1.2007137339640133,1.779957051246906,1.3710678622717363,2.0247934233387634,2.278181784567518,1.8927900303521317
2021-05-07T19:01:06.990,3.587163543773722,4.00978541165563,4.471003675387662,4.234074158137412,4.002592584383178,3.7429410468500794,3.5150786750759226,3.2766053963325628,3.0241263435993213,2.779957051246906,2.5376617134872417,2.281601443825655,2.2744465129379186,1.87069645798925,1.6180480967120927,1.589670402034894,1.4771212547196624,2.2128531899471113,1.6532125137753437,1.2007137339640133,1.05595140532915,1.070037866607755,1.3010299956639813,1.2671717284030137,1.2041199826559248,1.1903316981702914,1.7754283920481704,1.3324384599156054,2.076002913646383,2.1492191126553797,1.863322860120456
2021-05-07T19:01:14.990,3.5876688801812504,4.009089541682829,4.4673361239755645,4.229918502865818,3.9992338806344563,3.736764898640432,3.5091184788897367,3.2679047150443568,3.0238181147134924,2.76585474746579,2.5165353738957994,2.298853076409707,2.260965304901508,1.864065879090237,1.616738006783775,1.5471591213274176,1.4605219929002007,2.20378055748671,1.632204133050827,1.1903316981702914,1.157607853361668,1.041392685158225,1.2336305801644631,1.2787536009528289,1.1972805581256194,1.1613680022349748,1.7643629658980102,1.3273589343863303,2.0170333392987803,2.267758216651366,1.8772273251482077
2021-05-07T19:01:22.990,3.5816083660320577,4.006123606211855,4.463181641278275,4.225215562239579,3.9951029675390997,3.732715340349993,3.503960827812307,3.2558150341956003,3.0062520513693647,2.7529123336910137,2.5188428262865648,2.268928822432613,2.2383597864085236,1.8120773708565143,1.568201724066995,1.5168657614978143,1.3064250275506875,2.2095150145426308,1.615423952885944,1.126293790693266,0.9661417327390326,1.070037866607755,1.2522460504731183,1.290034611362518,1.2007137339640133,1.1613680022349748,1.7862188721316767,1.3349561161368517,2.046787717044931,2.275886960301226,1.864065879090237
2021-05-07T19:01:30.990,3.579440597139797,4.005861246000782,4.462441050821298,4.221671738546525,3.9920672600276665,3.723835205954741,3.4920441204858688,3.2543365577885064,2.9992393188663753,2.7495430810911667,2.4971025016006325,2.2671717284030137,2.2141813086638207,1.8236372220346286,1.5783526415103615,1.5234212743726316,1.4807253789884878,2.2013971243204513,1.6141059109580307,1.1097472377132287,1.036429265626675,0.9357591037453117,1.1613680022349748,1.2700962814203305,1.157607853361668,1.1222158782728267,1.7568262130779067,1.354588587877241,2.0868045767268297,2.1271047983648077,1.8588378514285855
2021-05-07T19:01:38.990,3.5796407130879992,4.003519769628133,4.462514043849877,4.222823731238782,3.9894498176666917,3.726136068620587,3.494084989966382,3.254397002392905,3.002490041243299,2.7500260061736235,2.500887976677411,2.250114913092341,2.2128531899471113,1.816241299991783,1.576916955965207,1.5667320289862194,1.3349561161368517,2.197969367916172,1.6296643920005542,1.126293790693266,1.0511525224473812,1.1097472377132287,1.2272437815030626,1.2461291256634364,1.0925452076056064,1.105510184769974,1.7754283920481704,1.236789099409293,1.9822712330395684,2.172091867626748,1.8955606584533253
2021-05-07T19:01:46.990,3.5800121125294244,4.004369745474085,4.461875407051997,4.221867206739626,3.9871800924420353,3.722500241254512,3.48367642872537,3.241795431295199,3.00189589410742,2.740066478627763,2.4929349096166495,2.2630439833131657,2.2439676840364164,1.864807629026147,1.6258267132857112,1.5826314394896364,1.441302286693167,2.2074997233073055,1.599337132992489,1.2041199826559248,1.1097472377132287,1.026328938722349,1.2700962814203305,1.2461291256634364,1.13433651094868,1.0881360887005513,1.7662268935741685,1.3324384599156054,2,2.2821687783046416,1.8610861453983871
