Energy	Counts
9.08075458797204	12535.5018224748
9.4702053609379	14419.1347116556
9.85965613390377	15438.020848551
10.2491069068696	17261.1715237229
10.6385576798355	21590.9452808349
11.0280084528014	35951.4707529865
11.4174592257672	56785.0565571766
11.8069099987331	64964.3541990884
12.196360771699	54052.1319613136
12.5858115446648	40096.2707908299
12.9752623176307	30655.9863875782
13.3647130905966	24741.2542790665
13.7541638635624	22279.2435139395
14.1436146365283	21452.6314003134
14.5330654094942	21022.964122954
14.92251618246	20762.7356681638
15.3119669554259	20690.3785578673
15.7014177283918	20386.9301272908
16.0908685013576	20325.0696959846
16.4803192743235	20809.7623021158
16.8697700472894	21089.8390396386
17.2592208202553	21829.3577924554
17.6486715932211	22623.9663443444
18.038122366187	22739.025501124
18.4275731391529	22948.4906275488
18.8170239121187	22793.3867528208
19.2064746850846	22662.2155153843
19.5959254580505	22524.3701373592
19.9853762310163	22465.1576064211
20.3748270039822	22851.0381554247
20.7642777769481	23659.7445575876
21.1537285499139	25159.6230878023
21.5431793228798	26954.3192006866
21.9326300958457	29405.2186524196
22.3220808688115	33089.0090688981
22.7115316417774	36820.961272944
23.1009824147433	36736.0917650679
23.4904331877091	33860.5914707389
23.879883960675	31852.5410421464
24.2693347336409	32026.2923449835
24.6587855066067	34007.0665374284
25.0482362795726	36687.4424144196
25.4376870525385	40411.3875679959
25.8271378255043	43945.5428850362
26.2165885984702	47329.4982017631
26.6060393714361	53788.9954131731
26.9954901444019	64395.1416441943
27.3849409173678	77004.9270959761
27.7743916903337	87709.2040858284
28.1638424632995	99910.687991755
28.5532932362654	120748.600270666
28.9427440092313	168143.250963382
29.3321947821971	299253.130226754
29.721645555163	641842.088131742
30.1110963281289	1244405.32798537
30.5005471010947	1681090.95129779
30.8899978740606	1390742.86434774
31.2794486470265	659052.941695071
31.6688994199923	187063.927369324
32.0583501929582	52729.1889229686
32.4478009659241	34951.3476551497
32.8372517388899	38503.7536268836
33.2267025118558	51327.0101659235
33.6161532848217	85886.5291440512
34.0056040577875	169557.662378051
34.3950548307534	287137.352646334
34.7845056037193	328001.262971009
35.1739563766852	245273.998428784
35.563407149651	142027.062495424
35.9528579226169	73402.1191045662
36.3423086955828	32387.9163867674
36.7317594685486	15827.4927484459
37.1212102415145	12123.4011337531
37.5106610144804	11723.5159415964
37.9001117874462	11961.6958725188
38.2895625604121	12024.7463908228
38.679013333378	11997.6242205121
39.0684641063438	11843.6346382907
39.4579148793097	11766.4945586039
39.8473656522756	11613.7639746946
40.2368164252414	11524.0366971099
40.6262671982073	11375.7080061713
41.0157179711732	11330.96953745
41.405168744139	11627.0992219675
41.7946195171049	11626.7503043476
42.1840702900708	11856.2233086437
42.5735210630366	12094.135574659
42.9629718360025	12155.4767060874
43.3524226089684	12478.6431729767
43.7418733819342	12544.4750494175
44.1313241549001	12483.2416458513
44.520774927866	12256.5068497449
44.9102257008318	12471.8477347447
45.2996764737977	12502.4921435184
45.6891272467636	12744.561702438
46.0785780197294	12843.935795167
46.4680287926953	12843.0556129133
46.8574795656612	12966.2677912371
47.246930338627	13296.7993652049
47.6363811115929	13848.8054548852
48.0258318845588	14508.5343505628
48.4152826575246	15254.9734725386
48.8047334304905	16250.713021593
49.1941842034564	17620.6281204845
49.5836349764222	18704.663979034
49.9730857493881	18990.7874772104
