Energy keV,sbspec - 0 - Counts,Energy keV,sbspec - 1 - Counts,Energy keV,sbspec - 2 - Counts,Energy keV,sbspec sum - Counts
-8.336885268104108,0.12540572564659416,9.080754587972036,12535.501822474791,88.99543191923784,0,-8.398607484769364,0
-7.709513349530904,0.8397588270119127,9.470205360937904,14419.13471165559,99.23954982619907,12949.127162022507,-7.9982593559617055,0.5109799972711851
-7.082141430957699,0.44015816587086565,9.859656133903771,15438.020848551001,109.4836677331603,22730.370322979015,-7.5979112271540465,0.7686745457964592
-6.454769512384495,0.5822256950117537,10.249106906869638,17261.171523722944,119.72778564012152,25816.98732844387,-7.197563098346388,0.5136752826449411
-5.827397593811289,0.6907291913004798,10.638557679835506,21590.945280834854,129.97190354708275,15488.20326149294,-6.797214969538729,0.5046793807392459
-5.200025675238085,0.05760975661078174,11.028008452801373,35951.4707529865,140.21602145404398,8558.586121806396,-6.39686684073107,0.5922399180473383
-4.572653756664881,0.5338259625584272,11.41745922576724,56785.05655717657,150.4601393610052,5797.749482638321,-5.996518711923412,0.661479822515921
-3.9452818380916757,4.911143131761433,11.806909998733108,64964.35419908841,160.70425726796643,4141.718490321507,-5.596170583115753,0.4573838502634073
-3.3179099195184714,23.71346081042493,12.196360771698975,54052.131961313564,170.94837517492766,3262.429635694515,-5.195822454308094,0.06080027544782554
-2.690538000945267,65.79090580378858,12.585811544664843,40096.27079082989,181.19249308188887,2834.447089884992,-4.795474325500435,0.3646906175476313
-2.063166082372062,154.77913188179093,12.97526231763071,30655.986387578152,191.4366109888501,2439.253535826127,-4.395126196692776,1.7724762962232012
-1.4357941637988576,335.27221679603224,13.364713090596577,24741.254279066536,201.68072889581134,2001.008886177803,-3.9947780678851172,4.565796631429719
-0.8084222452256533,610.8917009265472,13.754163863562445,22279.243513939466,211.92484680277255,1721.7313219449059,-3.5944299390774583,15.426164075686474
-0.18105032665244813,1014.8478770501731,14.143614636528312,21452.631400313378,222.16896470973379,1573.0859208919428,-3.1940818102697994,32.01853520296845
0.44632159192075704,1400.7115927451343,14.53306540949418,21022.964122954025,232.413082616695,1563.732766717258,-2.7937336814621405,58.86963559396358
1.0736935104939604,1628.044943384061,14.922516182460047,20762.735668163816,242.65720052365623,1616.9159999946012,-2.3933855526544816,107.93985838724214
1.7010654290671656,3155.7922998843696,15.311966955425914,20690.37855786731,252.90131843061747,1783.2128376076844,-1.9930374238468236,174.95494393742842
2.328437347640371,28651.630386664707,15.701417728391782,20386.930127290838,263.14543633757864,2240.7895443622915,-1.5926892950391647,290.13394170397703
2.955809266213574,125404.53663331064,16.090868501357647,20325.069695984635,273.3895542445399,4838.180314903509,-1.1923411662315058,442.2269395259618
3.5831811847867794,246588.84428670924,16.480319274323517,20809.76230211579,283.6336721515011,8203.827341152513,-0.7919930374238469,621.4702425601154
4.210553103359985,291714.13491109374,16.869770047289386,21089.839039638584,293.8777900584623,12720.233281612083,-0.39164490861618795,879.2489133032816
4.837925021933188,249116.02676725405,17.25922082025525,21829.357792455427,304.1219079654236,20085.76259666208,0.008703220191470962,1131.555377790739
5.465296940506393,223790.05806789146,17.648671593221117,22623.966344344397,314.3660258723848,39759.13161076196,0.40905134899912987,1377.788611985493
6.092668859079598,264835.08461272897,18.038122366186986,22739.025501123993,,,0.8093994778067888,1532.2758370120516
6.720040777652802,343445.5638666717,18.427573139152855,22948.490627548847,,,1.2097476066144477,1959.3576456832468
7.347412696226007,369697.9389193247,18.81702391211872,22793.386752820777,,,1.6100957354221066,2934.267069198315
7.974784614799212,217778.52178238306,19.206474685084586,22662.21551538433,,,2.0104438642297655,15728.657385057475
8.602156533372415,86400.05364126789,19.595925458050456,22524.37013735921,,,2.4107919930374244,41352.31246883088
9.229528451945622,40046.06315150579,19.985376231016325,22465.157606421075,,,2.8111401218450833,103093.7513598798
9.856900370518826,24857.0300083912,20.37482700398219,22851.03815542469,,,3.2114882506527422,174791.95706687158
10.48427228909203,15192.67389059215,20.764277776948056,23659.744557587568,,,3.611836379460401,248649.9406623428
11.111644207665236,11494.279662989898,21.153728549913925,25159.623087802334,,,4.01218450826806,277445.9787516155
11.73901612623844,6597.08706848254,21.543179322879794,26954.319200686623,,,4.412532637075719,277999.86787849746
12.366388044811643,2364.468103035117,21.93263009584566,29405.2186524196,,,4.812880765883378,250816.51398386087
12.99375996338485,809.4654099479189,22.322080868811526,33089.00906889807,,,5.213228894691037,233965.6289683992
,,22.711531641777395,36820.961272943976,,,5.613577023498696,233491.09785355983
,,23.100982414743264,36736.09176506795,,,6.013925152306353,259683.37565180322
,,23.49043318770913,33860.59147073889,,,6.4142732811140135,305132.5174398292
,,23.879883960674995,31852.541042146382,,,6.814621409921671,347403.28998977627
,,24.269334733640864,32026.292344983463,,,7.214969538729331,364155.85560187604
,,24.658785506606733,34007.066537428436,,,7.6153176675369885,304824.1919683695
,,25.0482362795726,36687.442414419624,,,8.01566579634465,209217.56001754492
,,25.437687052538465,40411.387567995895,,,8.416013925152306,125380.32993314693
,,25.827137825504337,43945.54288503617,,,8.816362053959967,70573.26833224187
,,26.216588598470203,47329.498201763105,,,9.216710182767624,54186.223548160866
,,26.60603937143607,53788.99541317312,,,9.617058311575285,45467.07679351978
,,26.995490144401934,64395.14164419427,,,10.017406440382942,38561.016215784075
,,27.384940917367807,77004.92709597613,,,10.417754569190603,35353.482314401685
,,27.774391690333672,87709.20408582839,,,10.81810269799826,41436.17439031624
,,28.163842463299538,99910.68799175495,,,11.21845082680592,56799.70437264743
